X				Y			OBJECTID	SPECIES	DIAMETER
-89.39314919	43.0540707	620	541	19
-89.39342684	43.05407432	621	544	18
-89.39374832	43.05408032	622	541	22
-89.39409615	43.05408218	623	544	21
-89.3942744	43.05408741	624	541	22
-89.39444393	43.05408832	625	544	17
-89.39463392	43.05408933	626	544	20
-89.39482389	43.05409248	627	941	1
-89.39499926	43.05409341	628	541	23
-89.39605855	43.053979	629	544	21
-89.39596512	43.05396778	630	544	19
-89.3957663	43.05397316	631	544	6
-89.3955384	43.05396337	632	544	19
-89.39530749	43.05396215	633	544	27
-89.39506198	43.0539587	634	541	21
-89.39492751	43.05396013	635	541	22
-89.39267998	43.05392886	636	544	15
-89.39253676	43.0539281	637	544	19
-89.39233809	43.05391846	638	320	24
-89.3922393	43.05385792	639	320	7
-89.39224605	43.05376792	640	311	2
-89.39224792	43.0535793	641	320	21
-89.39225245	43.05341855	642	320	24
-89.39225351	43.05331138	643	320	27
-89.39226412	43.05312708	644	320	20
-89.39243488	43.05300367	645	320	21
-89.39257515	43.05300656	646	320	17
-89.39281777	43.05300571	647	1	0
-89.39304866	43.05300909	648	318	21
-89.3932037	43.05299705	649	320	16
-89.39344041	43.0530026	650	320	18
-89.39375017	43.05301068	651	320	21
-89.39393128	43.05302237	652	320	15
-89.39424981	43.05303049	653	544	22
-89.3944252	43.05302928	654	544	20
-89.39464738	43.05302618	655	318	26
-89.39488115	43.05303385	656	554	24
-89.39510612	43.05304362	657	554	17
-89.3950722	43.05292769	658	544	31
-89.39493772	43.05292912	659	544	14
-89.39853881	43.06478677	660	544	4
-89.39790285	43.06523999	661	320	9
-89.39779397	43.0653123	662	320	5
-89.3976615	43.06540377	663	320	6
-89.39753786	43.06548993	664	320	14
-89.39740825	43.06558785	665	320	8
-89.39881841	43.06459854	666	320	8
-89.39890683	43.06452613	667	1	0
-89.39906867	43.0644198	668	320	11
-89.39918645	43.06433468	669	320	6
-89.39935141	43.06420908	670	544	3
-89.39888538	43.0643288	671	661	2
-89.3920072	43.06508178	672	554	22
-89.39214926	43.06520257	673	554	23
-89.39229731	43.0653084	674	554	20
-89.39246269	43.06543576	675	554	17
-89.39296459	43.06582642	676	554	10
-89.39309521	43.06592144	677	554	8
-89.39319384	43.06599913	678	554	10
-89.3933273	43.06610274	679	554	12
-89.3931644	43.06660775	680	320	6
-89.39302601	43.06670562	681	320	7
-89.39290233	43.06679499	682	320	8
-89.39269037	43.06694177	683	320	4
-89.39285351	43.06700052	684	320	5
-89.39314206	43.06679627	685	320	7
-89.39344529	43.06658567	686	950	10
-89.39355427	43.0665048	687	2	30
-89.39361603	43.06646868	688	2	30
-89.39377996	43.06644812	689	554	20
-89.39394824	43.06657763	690	554	24
-89.39437191	43.06689928	691	554	14
-89.39449088	43.06698995	692	554	17
-89.39452992	43.06718093	693	554	15
-89.39446404	43.06763288	694	1	0
-89.39461107	43.06754792	695	1	0
-89.39530987	43.06724939	696	1	0
-89.3969793	43.06754549	697	661	4
-89.3976185	43.06765605	698	661	2
-89.39767108	43.06766061	699	974	10
-89.3977676	43.06765684	700	974	10
-89.3982909	43.06766175	701	661	2
-89.3983992	43.06764946	702	661	1
-89.3985776	43.06764397	703	974	2
-89.39880568	43.06764089	704	661	1
-89.39914025	43.06780986	705	541	4
-89.39913237	43.0680156	706	497	2
-89.39912566	43.06810345	707	497	2
-89.39912492	43.06817847	708	541	7
-89.3991209	43.06828992	709	320	2
-89.3991229	43.06838425	710	320	2
-89.39927871	43.06829718	711	320	2
-89.39929169	43.06816649	712	497	2
-89.39929258	43.06807647	713	497	2
-89.39929814	43.06780855	714	999	2
-89.39945114	43.06771075	715	554	15
-89.39980781	43.06771263	716	554	17
-89.38775246	43.06780786	717	970	2
-89.38756677	43.06766539	718	970	2
-89.38733758	43.06748838	719	970	2
-89.38724329	43.06756075	720	970	2
-89.3873362	43.06762556	721	970	2
-89.38799441	43.06817143	722	320	9
-89.38814257	43.06826654	723	901	31
-89.38824124	43.06833996	724	320	3
-89.38832828	43.06840688	725	320	10
-89.38847625	43.06852128	726	2	11
-89.38880422	43.06876313	727	320	17
-89.38894926	43.06887751	728	320	17
-89.38908852	43.06898544	729	320	18
-89.38920168	43.06907179	730	320	10
-89.38932063	43.0691646	731	320	16
-89.39178873	43.05679326	732	544	22
